"Accession" "Description" "z_score_TPP" "p_value_TPP" "Sig_Check_TPP"
"P19882" "heat shock protein 60, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.617688319584214 0.214950698360776 "Not Significant"
"P17255" "V-type proton ATPase catalytic subunit A [OS=Saccharomyces cerevisiae S288C]" -0.216707082223905 0.570009301624453 "Not Significant"
"P18899" "Stress protein ddr48 [OS=Saccharomyces cerevisiae S288C]" -0.628178333759066 0.217690866340094 "Not Significant"
"P14540" "fructose-bisphosphate aldolase [OS=Saccharomyces cerevisiae S288C]" -0.210813287691526 0.616737342339861 "Not Significant"
"P15705" "Heat shock protein STI1 [OS=Saccharomyces cerevisiae S288C]" -0.20344293683646 0.262955802548477 "Not Significant"
"P31539" "heat shock protein 104 [OS=Saccharomyces cerevisiae S288C]" -0.149300000600793 0.526895292537812 "Not Significant"
"P19414" "Aconitate hydratase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.00876623596760477 0.941392960532787 "Not Significant"
"P00950" "Phosphoglycerate mutase 1 [OS=Saccharomyces cerevisiae S288C]" 0.297726342627816 0.554363947075839 "Not Significant"
"P02994" "elongation factor 1-alpha [OS=Saccharomyces cerevisiae S288C]" 0.0803298618397165 0.342193645928108 "Not Significant"
"P54115" "Magnesium-activated aldehyde dehydrogenase, cytosolic [OS=Saccharomyces cerevisiae S288C]" -0.19433497175632 0.418764262232512 "Not Significant"
"P04802" "Aspartate--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.284014703409097 0.339965042394366 "Not Significant"
"P00330" "Alcohol dehydrogenase 1 [OS=Saccharomyces cerevisiae S288C]" 0.163089991403982 0.544212832261978 "Not Significant"
"Q08245" "protein ZEO1 [OS=Saccharomyces cerevisiae S288C]" -0.547344117686766 0.160325621102559 "Not Significant"
"P32582" "Cystathionine beta-synthase [OS=Saccharomyces cerevisiae S288C]" -0.142926445834818 0.134950238451734 "Not Significant"
"P38011" "Guanine nucleotide-binding protein subunit beta-like protein [OS=Saccharomyces cerevisiae S288C]" -0.130363819170857 0.671133806994895 "Not Significant"
"P46367" "Potassium-activated aldehyde dehydrogenase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.333049757218314 0.20254201801674 "Not Significant"
"P39015" "Suppressor protein STM1 [OS=Saccharomyces cerevisiae S288C]" -0.959414865899256 0.238655031480438 "Not Significant"
"P16140" "V-type proton ATPase subunit B [OS=Saccharomyces cerevisiae S288C]" -0.464244595147184 0.532300313473875 "Not Significant"
"P32454" "Aminopeptidase 2, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.449314580668907 0.293089047824534 "Not Significant"
"P10081" "ATP-dependent RNA helicase eIF4A [OS=Saccharomyces cerevisiae S288C]" 0.0511672452581148 0.865047547909207 "Not Significant"
"P19097" "Fatty acid synthase subunit alpha [OS=Saccharomyces cerevisiae S288C]" 2.19605907532541 0.346788689690679 "Significant"
"P00942" "Triosephosphate isomerase [OS=Saccharomyces cerevisiae S288C]" -0.115367731023504 0.78383938143965 "Not Significant"
"P22943" "12 kDa heat shock protein [OS=Saccharomyces cerevisiae S288C]" 0.0685673798818554 0.823679453983442 "Not Significant"
"P32589" "Heat shock protein homolog SSE1 [OS=Saccharomyces cerevisiae S288C]" -0.414636894673727 0.237138453201937 "Not Significant"
"P37012" "Phosphoglucomutase 2 [OS=Saccharomyces cerevisiae S288C]" -0.649177805613865 0.14693261889363 "Not Significant"
"P23254" "transketolase 1 [OS=Saccharomyces cerevisiae S288C]" 0.170014330785744 0.629976614953154 "Not Significant"
"P25694" "Cell division control protein 48 [OS=Saccharomyces cerevisiae S288C]" 0.208860372196439 0.567437563806699 "Not Significant"
"P04147" "polyadenylate-binding protein, cytoplasmic and nuclear [OS=Saccharomyces cerevisiae S288C]" -0.0190558567103165 0.989347798994264 "Not Significant"
"P50095" "Inosine-5'-monophosphate dehydrogenase 3 [OS=Saccharomyces cerevisiae S288C]" -0.0369478462044185 0.938978389759102 "Not Significant"
"P07806" "Valine--tRNA ligase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.114679211968527 0.59288977992907 "Not Significant"
"P05694" "5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [OS=Saccharomyces cerevisiae S288C]" -0.29787203358976 0.390847407636993 "Not Significant"
"P39954" "Adenosylhomocysteinase [OS=Saccharomyces cerevisiae S288C]" -0.234346635722461 0.358446761063155 "Not Significant"
"P22202" "Heat shock protein SSA4 [OS=Saccharomyces cerevisiae S288C]" -0.836411576844619 0.0484861526805765 "Not Significant"
"P09436" "isoleucine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.539852180292745 0.278588308626108 "Not Significant"
"P07149" "Fatty acid synthase subunit beta [OS=Saccharomyces cerevisiae S288C]" 2.34839704474739 0.424376061779691 "Significant"
"Q12118" "Small glutamine-rich tetratricopeptide repeat-containing protein 2 [OS=Saccharomyces cerevisiae S288C]" -0.344504021281889 0.35172839227448 "Not Significant"
"P41338" "acetyl-CoA acetyltransferase [OS=Saccharomyces cerevisiae S288C]" -0.413377015472647 0.364822478218665 "Not Significant"
"P34167" "eukaryotic translation initiation factor 4B [OS=Saccharomyces cerevisiae S288C]" -0.26669865838195 0.454349221328896 "Not Significant"
"P16120" "threonine synthase [OS=Saccharomyces cerevisiae S288C]" -0.208802173838242 0.287922915444284 "Not Significant"
"Q03558" "Nadph dehydrogenase 2 [OS=Saccharomyces cerevisiae S288C]" -0.245423308042377 0.702781746848192 "Not Significant"
"P17536" "Tropomyosin-1 [OS=Saccharomyces cerevisiae S288C]" -0.745471130603733 0.0914118345970856 "Not Significant"
"P15019" "Transaldolase [OS=Saccharomyces cerevisiae S288C]" -0.255296700913609 0.454908836956734 "Not Significant"
"P43616" "Cys-Gly metallodipeptidase dug1 [OS=Saccharomyces cerevisiae S288C]" -0.113336027115728 0.112853987323915 "Not Significant"
"P32861" "UTP--glucose-1-phosphate uridylyltransferase [OS=Saccharomyces cerevisiae S288C]" 0.292448178626955 0.484447570158084 "Not Significant"
"P31116" "Homoserine dehydrogenase [OS=Saccharomyces cerevisiae S288C]" -0.118923115730514 0.633608200772205 "Not Significant"
"P29311" "Protein BMH1 [OS=Saccharomyces cerevisiae S288C]" -0.33710707325028 0.284744617821829 "Not Significant"
"P15891" "actin-binding protein [OS=Saccharomyces cerevisiae S288C]" -0.00915283777578978 0.992206197669039 "Not Significant"
"P53090" "Aromatic/aminoadipate aminotransferase 1 [OS=Saccharomyces cerevisiae S288C]" -0.715131292560219 0.0818974857913136 "Not Significant"
"P00445" "Superoxide dismutase [Cu-Zn] [OS=Saccharomyces cerevisiae S288C]" -0.254011654766526 0.613457701381792 "Not Significant"
"P50094" "Inosine-5'-monophosphate dehydrogenase 4 [OS=Saccharomyces cerevisiae S288C]" 0.103779822007173 0.686225327759038 "Not Significant"
"P38697" "inosine-5'-monophosphate dehydrogenase 2 [OS=Saccharomyces cerevisiae S288C]" 0.587622360850116 0.45682659901081 "Not Significant"
"P17505" "Malate dehydrogenase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.0213306232333286 0.953475538428971 "Not Significant"
"P14832" "peptidyl-prolyl cis-trans isomerase [OS=Saccharomyces cerevisiae S288C]" 1.34318106613363 0.730267807946709 "Not Significant"
"P34760" "Peroxiredoxin TSA1 [OS=Saccharomyces cerevisiae S288C]" 0.180165614266336 0.528530752829814 "Not Significant"
"P04807" "Hexokinase-2 [OS=Saccharomyces cerevisiae S288C]" -0.0408281702855314 0.931036079870664 "Not Significant"
"P00890" "citrate synthase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.416605326113883 0.294499934326271 "Not Significant"
"P07170" "adenylate kinase [OS=Saccharomyces cerevisiae S288C]" -0.0433703661655101 0.918756346066446 "Not Significant"
"P04806" "Hexokinase-1 [OS=Saccharomyces cerevisiae S288C]" -0.524194989699563 0.200989118742673 "Not Significant"
"P38720" "6-phosphogluconate dehydrogenase, decarboxylating 1 [OS=Saccharomyces cerevisiae S288C]" -0.559897523951188 0.172194915538158 "Not Significant"
"P26637" "Leucine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.372725836226719 0.159099650171343 "Not Significant"
"P00931" "Tryptophan synthase [OS=Saccharomyces cerevisiae S288C]" -0.160283299345616 0.749831958728706 "Not Significant"
"P09435" "Heat shock protein SSA3 [OS=Saccharomyces cerevisiae S288C]" 1.44827327155068 0.521899203447682 "Not Significant"
"P32614" "Fumarate reductase 1 [OS=Saccharomyces cerevisiae S288C]" -0.0979472533881021 0.834469471652658 "Not Significant"
"P21954" "Isocitrate dehydrogenase [NADP], mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.225350276318574 0.444624751711003 "Not Significant"
"P15992" "heat shock protein 26 [OS=Saccharomyces cerevisiae S288C]" -0.019075723192704 0.986355996446681 "Not Significant"
"Q12363" "Transcriptional modulator WTM1 [OS=Saccharomyces cerevisiae S288C]" 0.00383922212748915 0.960265754131308 "Not Significant"
"P00817" "Inorganic pyrophosphatase [OS=Saccharomyces cerevisiae S288C]" 0.167613039944348 0.393383298872931 "Not Significant"
"P09938" "Ribonucleoside-diphosphate reductase small chain 1 [OS=Saccharomyces cerevisiae S288C]" -0.247482407344968 0.0366836922817317 "Not Significant"
"P30952" "Malate synthase 1, glyoxysomal [OS=Saccharomyces cerevisiae S288C]" 0.137357538423299 0.698316591063396 "Not Significant"
"P49723" "Ribonucleoside-diphosphate reductase small chain 2 [OS=Saccharomyces cerevisiae S288C]" -0.197322122780067 0.276902203020475 "Not Significant"
"P37898" "Alanine/arginine aminopeptidase [OS=Saccharomyces cerevisiae S288C]" -0.452776324149203 0.136903631166542 "Not Significant"
"P16861" "ATP-dependent 6-phosphofructokinase subunit alpha [OS=Saccharomyces cerevisiae S288C]" -0.255218451552718 0.397438748042384 "Not Significant"
"P34730" "Protein BMH2 [OS=Saccharomyces cerevisiae S288C]" -0.65192259089678 0.0867617829097279 "Not Significant"
"P00331" "Alcohol dehydrogenase 2 [OS=Saccharomyces cerevisiae S288C]" 0.133750151490082 0.816678017820439 "Not Significant"
"Q08969" "Protein GRE1 [OS=Saccharomyces cerevisiae S288C]" -0.739728950798248 0.589026308946198 "Not Significant"
"P38879" "Nascent polypeptide-associated complex subunit alpha [OS=Saccharomyces cerevisiae S288C]" 0.488820780206922 0.329254557699117 "Not Significant"
"P40185" "Protein mmf1, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.0475381439400685 0.881024314603964 "Not Significant"
"P41940" "mannose-1-phosphate guanyltransferase [OS=Saccharomyces cerevisiae S288C]" -0.00586433212238963 0.981059374772321 "Not Significant"
"P32316" "acetyl-CoA hydrolase [OS=Saccharomyces cerevisiae S288C]" -0.306740294904774 0.0470014523001823 "Not Significant"
"P48836" "V-type proton ATPase subunit G [OS=Saccharomyces cerevisiae S288C]" -0.300963687404934 0.574061846411209 "Not Significant"
"P09624" "Dihydrolipoyl dehydrogenase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.585407298788755 0.164694816820028 "Not Significant"
"P22203" "V-type proton ATPase subunit E [OS=Saccharomyces cerevisiae S288C]" 0.440052268365154 0.390536279429031 "Not Significant"
"Q05775" "Eukaryotic translation initiation factor 3 subunit J [OS=Saccharomyces cerevisiae S288C]" 0.261987064039679 0.667594096442371 "Not Significant"
"P28240" "isocitrate lyase [OS=Saccharomyces cerevisiae S288C]" 0.25568130348551 0.0872336808440891 "Not Significant"
"P07262" "NADP-specific glutamate dehydrogenase 1 [OS=Saccharomyces cerevisiae S288C]" 0.112511964679801 0.493159879852833 "Not Significant"
"P39676" "Flavohemoprotein [OS=Saccharomyces cerevisiae S288C]" -0.357871465580392 0.261957936803439 "Not Significant"
"Q05905" "Protein HRI1 [OS=Saccharomyces cerevisiae S288C]" -0.481921983242652 0.216941737029159 "Not Significant"
"P54838" "dihydroxyacetone kinase 1 [OS=Saccharomyces cerevisiae S288C]" -0.139882683362676 0.404161130201343 "Not Significant"
"P28777" "chorismate synthase [OS=Saccharomyces cerevisiae S288C]" -0.140970489703629 0.603193353628087 "Not Significant"
"P09201" "fructose-1,6-bisphosphatase [OS=Saccharomyces cerevisiae S288C]" -0.810541145880674 0.288910999657306 "Not Significant"
"P38013" "Peroxiredoxin type-2 [OS=Saccharomyces cerevisiae S288C]" 0.0911565626935544 0.552654619892385 "Not Significant"
"P13663" "Aspartate-semialdehyde dehydrogenase [OS=Saccharomyces cerevisiae S288C]" -0.0720179699242643 0.798873482962108 "Not Significant"
"P34216" "EH domain-containing and endocytosis protein 1 [OS=Saccharomyces cerevisiae S288C]" 0.396021528390467 0.0786242940836993 "Not Significant"
"P31373" "Cystathionine gamma-lyase [OS=Saccharomyces cerevisiae S288C]" 0.0177345847025097 0.949876622035774 "Not Significant"
"P10080" "Single-stranded nucleic acid-binding protein [OS=Saccharomyces cerevisiae S288C]" -0.190144425177574 0.576406228302471 "Not Significant"
"P23542" "Aspartate aminotransferase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.46906884576486 0.126249183973725 "Not Significant"
"P17967" "Protein disulfide-isomerase [OS=Saccharomyces cerevisiae S288C]" 0.0779106364545225 0.77088514657242 "Not Significant"
"O14467" "multiprotein-bridging factor 1 [OS=Saccharomyces cerevisiae S288C]" 0.185430078910832 0.522546698632359 "Not Significant"
"P54113" "bifunctional purine biosynthesis protein ADE16 [OS=Saccharomyces cerevisiae S288C]" -0.164855313938902 0.258249693651647 "Not Significant"
"Q05911" "adenylosuccinate lyase [OS=Saccharomyces cerevisiae S288C]" -0.247422960563772 0.634471914212255 "Not Significant"
"P48570" "homocitrate synthase, cytosolic isozyme [OS=Saccharomyces cerevisiae S288C]" 0.0450966264634215 0.957668677278975 "Not Significant"
"P35719" "Uncharacterized protein MRP8 [OS=Saccharomyces cerevisiae S288C]" -0.487933961146078 0.466905862774893 "Not Significant"
"P05317" "60S acidic ribosomal protein P0 [OS=Saccharomyces cerevisiae S288C]" 0.107854181709828 0.791172919826985 "Not Significant"
"P32327" "pyruvate carboxylase 2 [OS=Saccharomyces cerevisiae S288C]" 0.0894710730070923 0.742885159663178 "Not Significant"
"P00830" "ATP synthase subunit beta, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.923100784883177 0.13847096998533 "Not Significant"
"Q12122" "Homocitrate synthase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.400500591874313 0.14879260849523 "Not Significant"
"P16649" "General transcriptional corepressor TUP1 [OS=Saccharomyces cerevisiae S288C]" 0.000593824667172165 0.973491432760105 "Not Significant"
"Q02642" "Nascent polypeptide-associated complex subunit beta-1 [OS=Saccharomyces cerevisiae S288C]" -0.154727550516693 0.718888935381672 "Not Significant"
"P47143" "Adenosine kinase [OS=Saccharomyces cerevisiae S288C]" -0.0375730702547054 0.951206263948059 "Not Significant"
"P35732" "RNA polymerase II degradation factor 1 [OS=Saccharomyces cerevisiae S288C]" -0.119904994614519 0.42730429301001 "Not Significant"
"P22515" "ubiquitin-activating enzyme E1 1 [OS=Saccharomyces cerevisiae S288C]" 0.0623879940104654 0.836668475141929 "Not Significant"
"P14904" "vacuolar aminopeptidase 1 [OS=Saccharomyces cerevisiae S288C]" 0.207171526058035 0.598829748640894 "Not Significant"
"Q04344" "Hit family protein 1 [OS=Saccharomyces cerevisiae S288C]" -0.664721001123705 0.127814754207439 "Not Significant"
"P07284" "Serine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.831555039811425 0.151516010135224 "Not Significant"
"P07246" "Alcohol dehydrogenase 3, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.0576147786299748 0.702089615601636 "Not Significant"
"P37302" "aminopeptidase Y [OS=Saccharomyces cerevisiae S288C]" -0.853396476830615 0.317084732474809 "Not Significant"
"P0CX54" "60S ribosomal protein L12-B [OS=Saccharomyces cerevisiae S288C]" 0.966458378935121 0.198529683947888 "Not Significant"
"P38115" "D-arabinose dehydrogenase [NAD(P)+] heavy chain [OS=Saccharomyces cerevisiae S288C]" 0.205448734584961 0.34827807776032 "Not Significant"
"P39976" "D-2-hydroxyglutarate--pyruvate transhydrogenase DLD3 [OS=Saccharomyces cerevisiae S288C]" -0.504349392645237 0.196446024261311 "Not Significant"
"Q03048" "Cofilin [OS=Saccharomyces cerevisiae S288C]" 0.0224026511552229 0.897864272927951 "Not Significant"
"P28834" "Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.183493257817307 0.324544871522343 "Not Significant"
"P38791" "deoxyhypusine synthase [OS=Saccharomyces cerevisiae S288C]" 0.120091947182633 0.782664259348066 "Not Significant"
"P37292" "Serine hydroxymethyltransferase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.162396647200147 0.35466642534583 "Not Significant"
"P11154" "pyruvate carboxylase 1 [OS=Saccharomyces cerevisiae S288C]" -0.166112535390807 0.619149851002124 "Not Significant"
"P49090" "Asparagine synthetase [glutamine-hydrolyzing] 2 [OS=Saccharomyces cerevisiae S288C]" -0.368524818025797 0.743382567582507 "Not Significant"
"P53852" "Cysteine--tRNA ligase [OS=Saccharomyces cerevisiae S288C]" 0.271338415130171 0.512848410160802 "Not Significant"
"P38910" "10 kDa heat shock protein, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 0.81506190430074 0.5312635469736 "Not Significant"
"P41277" "Glycerol-1-phosphate phosphohydrolase 1 [OS=Saccharomyces cerevisiae S288C]" -0.254349542293884 0.274105997251009 "Not Significant"
"P38205" "Multisite-specific tRNA:(cytosine-C(5))-methyltransferase [OS=Saccharomyces cerevisiae S288C]" -0.014345874648307 0.996306028484588 "Not Significant"
"P16862" "ATP-dependent 6-phosphofructokinase subunit beta [OS=Saccharomyces cerevisiae S288C]" -0.390205603379138 0.537895124924752 "Not Significant"
"P54839" "Hydroxymethylglutaryl-CoA synthase [OS=Saccharomyces cerevisiae S288C]" -0.168216494083784 0.303997308619598 "Not Significant"
"P32377" "Diphosphomevalonate decarboxylase [OS=Saccharomyces cerevisiae S288C]" -0.15284609588353 0.773732174217607 "Not Significant"
"P32499" "nucleoporin NUP2 [OS=Saccharomyces cerevisiae S288C]" -0.083753126929051 0.842788253328068 "Not Significant"
"P32471" "Elongation factor 1-beta [OS=Saccharomyces cerevisiae S288C]" 0.0726990015906494 0.789297453309422 "Not Significant"
"P07280" "40S ribosomal protein S19-A [OS=Saccharomyces cerevisiae S288C]" 0.130789911645738 0.826613543722491 "Not Significant"
"P35691" "Translationally-controlled tumor protein homolog [OS=Saccharomyces cerevisiae S288C]" -0.301103666117964 0.572625766563563 "Not Significant"
"P06105" "Protein SCP160 [OS=Saccharomyces cerevisiae S288C]" 0.511378969362501 0.316129313103706 "Not Significant"
"P40069" "Importin subunit beta-4 [OS=Saccharomyces cerevisiae S288C]" 0.0595683758743587 0.807123718014029 "Not Significant"
"P47068" "Myosin tail region-interacting protein MTI1 [OS=Saccharomyces cerevisiae S288C]" 0.139075435372373 0.697172678688954 "Not Significant"
"P25294" "Protein SIS1 [OS=Saccharomyces cerevisiae S288C]" -0.306546714356752 0.64869684558922 "Not Significant"
"P41921" "glutathione reductase [OS=Saccharomyces cerevisiae S288C]" -0.172829938422366 0.774738911872078 "Not Significant"
"P07267" "saccharopepsin [OS=Saccharomyces cerevisiae S288C]" -0.578415518262453 0.452993937116514 "Not Significant"
"P40106" "Glycerol-1-phosphate phosphohydrolase 2 [OS=Saccharomyces cerevisiae S288C]" -0.0449209640972304 0.928959528902425 "Not Significant"
"P47120" "Deoxyhypusine hydroxylase [OS=Saccharomyces cerevisiae S288C]" -0.290794317520166 0.516136224081021 "Not Significant"
"P36010" "Nucleoside diphosphate kinase [OS=Saccharomyces cerevisiae S288C]" -0.0977397859143593 0.691776816626784 "Not Significant"
"P38968" "Protein transport protein sec31 [OS=Saccharomyces cerevisiae S288C]" -0.186333370305395 0.601480158609959 "Not Significant"
"P04456" "60S ribosomal protein L25 [OS=Saccharomyces cerevisiae S288C]" 0.151330477389208 0.533570854067394 "Not Significant"
"P04801" "Threonine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" 0.257320939385704 0.282047194044453 "Not Significant"
"P39935" "Eukaryotic initiation factor 4F subunit p150 [OS=Saccharomyces cerevisiae S288C]" 4.66474206334591 0.391487101682259 "Significant"
"P43590" "Uncharacterized peptidase YFR006W [OS=Saccharomyces cerevisiae S288C]" -0.224713924085137 0.492874041589669 "Not Significant"
"P40414" "Tropomyosin-2 [OS=Saccharomyces cerevisiae S288C]" -0.690485554615295 0.287907493245958 "Not Significant"
"Q3E841" "Uncharacterized protein YNR034W-A [OS=Saccharomyces cerevisiae S288C]" -0.156496706613851 0.838132884842659 "Not Significant"
"Q12513" "Translation machinery-associated protein 17 [OS=Saccharomyces cerevisiae S288C]" -0.0185830515451101 0.984292573168876 "Not Significant"
"P07251" "ATP synthase subunit alpha, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.277406397815607 0.26622957171873 "Not Significant"
"P52910" "acetyl-coenzyme A synthetase 2 [OS=Saccharomyces cerevisiae S288C]" 0.291451654694386 0.498628143950989 "Not Significant"
"P38701" "40S ribosomal protein S20 [OS=Saccharomyces cerevisiae S288C]" -0.0815321333791988 0.897066381941889 "Not Significant"
"P49089" "Asparagine synthetase [glutamine-hydrolyzing] 1 [OS=Saccharomyces cerevisiae S288C]" 0.370237867385246 0.253202621971521 "Not Significant"
"P15625" "Phenylalanine--tRNA ligase alpha subunit [OS=Saccharomyces cerevisiae S288C]" 0.197490542704759 0.639752615015206 "Not Significant"
"P32481" "Eukaryotic translation initiation factor 2 subunit gamma [OS=Saccharomyces cerevisiae S288C]" -0.488646945790362 0.376799862900077 "Not Significant"
"P06168" "ketol-acid reductoisomerase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.425976895420365 0.227566709799906 "Not Significant"
"P15624" "Phenylalanine--tRNA ligase beta subunit [OS=Saccharomyces cerevisiae S288C]" 0.0720523713712356 0.835314929249053 "Not Significant"
"P34223" "UBX domain-containing protein 1 [OS=Saccharomyces cerevisiae S288C]" -0.52189799700946 0.264912210688254 "Not Significant"
"P16467" "Pyruvate decarboxylase isozyme 2 [OS=Saccharomyces cerevisiae S288C]" -1.12513719552283 0.198074879692504 "Not Significant"
"P22803" "thioredoxin-2 [OS=Saccharomyces cerevisiae S288C]" -0.486131569012247 0.570657093081443 "Not Significant"
"P38707" "Asparagine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" 0.243324513667544 0.104801645288228 "Not Significant"
"P0CT04" "Protease B inhibitor 2 [OS=Saccharomyces cerevisiae S288C]" 0.130150759998818 0.836261334371826 "Not Significant"
"Q12335" "Protoplast secreted protein 2 [OS=Saccharomyces cerevisiae S288C]" -0.648453548253504 0.00921640357248799 "Not Significant"
"Q12074" "spermidine synthase [OS=Saccharomyces cerevisiae S288C]" -0.867272627848484 0.196029907169658 "Not Significant"
"P0C0V8" "40S ribosomal protein S21-A [OS=Saccharomyces cerevisiae S288C]" 0.883119089647823 0.167366919868246 "Not Significant"
"Q3E754" "40S ribosomal protein S21-B [OS=Saccharomyces cerevisiae S288C]" -0.11265438358164 0.962775527855093 "Not Significant"
"P28241" "Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.19855373159899 0.633248174688992 "Not Significant"
"P06787" "Calmodulin [OS=Saccharomyces cerevisiae S288C]" -0.79628650557992 0.149466048630138 "Not Significant"
"P32521" "Actin cytoskeleton-regulatory complex protein PAN1 [OS=Saccharomyces cerevisiae S288C]" 0.0389306035679268 0.871889915431432 "Not Significant"
"Q00764" "Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit [OS=Saccharomyces cerevisiae S288C]" -0.198431740710346 0.685225032848385 "Not Significant"
"P00431" "cytochrome c peroxidase, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.347830186618491 0.239649931732922 "Not Significant"
"P22137" "Clathrin heavy chain [OS=Saccharomyces cerevisiae S288C]" -0.148685624491582 0.688487279565413 "Not Significant"
"Q05506" "arginine--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -0.185016184562672 0.60938940915032 "Not Significant"
"P22217" "thioredoxin-1 [OS=Saccharomyces cerevisiae S288C]" 0.678182045952506 0.186421357695516 "Not Significant"
"P15454" "guanylate kinase [OS=Saccharomyces cerevisiae S288C]" -0.175772348498334 0.711696331091369 "Not Significant"
"P07283" "phosphomannomutase [OS=Saccharomyces cerevisiae S288C]" -0.535454662579404 0.254799403550948 "Not Significant"
"P29509" "thioredoxin reductase 1 [OS=Saccharomyces cerevisiae S288C]" -0.185196577903527 0.69429961216029 "Not Significant"
"P50263" "protein SIP18 [OS=Saccharomyces cerevisiae S288C]" 0.439780583706755 0.213000848115804 "Not Significant"
"P05759" "Ubiquitin-40S ribosomal protein S31 [OS=Saccharomyces cerevisiae S288C]" 0.111251793344953 0.788199296528448 "Not Significant"
