"Accession" "Description" "z_score_TPP" "p_value_TPP" "Sig_Check_TPP"
"Q08438" "Phosphopantothenoylcysteine decarboxylase subunit VHS3 [OS=Saccharomyces cerevisiae S288C]" 3.09409424078413 0.0779746860207684 "Significant"
"Q12753" "Transcriptional activator HAA1 [OS=Saccharomyces cerevisiae S288C]" -2.01786034290863 0.0333738986238325 "Significant"
"P46949" "Protein FYV8 [OS=Saccharomyces cerevisiae S288C]" -2.4093716622574 0.0806380785665215 "Significant"
"P39713" "Probable diacetyl reductase [(R)-acetoin forming] 2 [OS=Saccharomyces cerevisiae S288C]" -2.05967813830506 0.034208275552059 "Significant"
"Q3E7A4" "COX assembly mitochondrial protein 2 [OS=Saccharomyces cerevisiae S288C]" -2.0885349310876 0.141406260795644 "Significant"
"P25369" "LAS seventeen-binding protein 5 [OS=Saccharomyces cerevisiae S288C]" -5.37116449808194 0.0267890021205487 "Significant"
"P20486" "Cyclin-dependent kinases regulatory subunit [OS=Saccharomyces cerevisiae S288C]" -2.03361512283256 0.0550227391374793 "Significant"
"P36145" "transcription initiation factor iie subunit beta [OS=Saccharomyces cerevisiae S288C]" -2.3497321465337 0.0674718165446634 "Significant"
"P38809" "Uncharacterized protein YHR097C [OS=Saccharomyces cerevisiae S288C]" -3.61063851642405 0.0767646293964236 "Significant"
"P39931" "protein SSP120 [OS=Saccharomyces cerevisiae S288C]" -6.45880679220043 0.0440069838241926 "Significant"
"Q03102" "Uncharacterized membrane protein YML131W [OS=Saccharomyces cerevisiae S288C]" 3.26486227297704 0.104436349500199 "Significant"
"P32623" "Probable glycosidase CRH2 [OS=Saccharomyces cerevisiae S288C]" 3.233842178777 0.0205201404407603 "Significant"
"P36775" "Lon protease homolog, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 3.62226808069265 0.214587951782903 "Significant"
"Q07362" "Protein PBP4 [OS=Saccharomyces cerevisiae S288C]" 2.36837794302784 0.162315376705689 "Significant"
